,Uncovered Top Resistor,Lasered Top Resistor
0,556,816
1,557,816
2,562,817
3,565,818
4,562,818
5,563,817
6,561,817
7,561,818
8,562,818
9,563,818
10,562,816
11,563,816
12,566,817
13,562,817
14,562,817
15,563,817
16,557,816
17,557,817
18,562,818
19,564,817
20,542,814
21,541,814
22,541,814
23,540,814
24,541,814
25,541,814
26,542,814
27,539,813
28,543,814
29,543,814
30,540,813
31,542,813
32,543,814
33,543,813
34,539,814
35,539,813
36,534,813
37,537,813
38,537,814
39,538,812
40,537,814
41,537,813
42,537,814
43,539,814
44,541,814
45,542,814
46,540,813
47,541,814
48,541,813
49,536,813
50,540,813
51,540,814
52,540,814
53,540,814
54,540,814
55,540,814
56,540,814
57,540,813
58,540,814
59,540,814
60,540,813
61,541,814
62,541,814
63,540,814
64,541,814
65,541,813
66,541,813
67,541,813
68,541,814
69,541,814
70,541,814
71,541,814
72,540,814
73,540,814
74,541,813
75,540,813
76,541,813
77,541,814
78,540,813
79,540,814
80,540,813
81,540,813
82,540,814
83,540,814
84,539,814
85,539,813
86,540,814
87,540,814
88,540,813
89,539,813
90,540,814
91,540,813
92,540,813
93,540,813
94,539,813
95,539,813
96,538,813
97,535,813
98,532,812
99,539,822
100,613,829
101,613,827
102,613,828
103,613,827
104,612,827
105,612,827
106,612,827
107,614,827
108,611,826
109,612,828
110,613,827
111,612,827
112,612,827
