,Uncovered Top Resistor,Lasered Top Resistor
0,423,799
1,426,800
2,421,799
3,416,799
4,417,799
5,418,799
6,416,799
7,416,799
8,421,800
9,420,802
10,566,805
11,529,795
12,337,787
13,340,786
14,328,798
15,465,801
16,416,798
17,427,798
18,364,781
19,358,789
20,405,784
21,358,791
22,494,804
23,475,796
24,368,782
25,405,813
26,500,795
27,417,797
28,428,798
29,430,798
30,426,798
31,426,799
32,432,799
33,431,799
34,430,799
35,426,798
36,423,798
37,423,798
38,423,798
39,423,798
40,420,797
41,421,798
42,422,797
43,420,797
44,421,798
45,422,798
46,422,798
47,421,797
48,423,798
49,421,797
50,424,798
51,423,798
52,425,798
53,423,797
54,424,798
55,426,798
56,424,798
57,426,798
58,429,798
59,430,799
60,430,799
61,430,798
62,429,798
63,431,798
64,429,798
65,432,799
66,431,799
67,430,798
68,430,798
69,432,799
70,430,798
71,430,798
72,431,798
73,431,798
74,430,798
75,432,798
76,431,799
77,431,799
78,432,799
79,431,798
80,430,799
81,431,798
82,429,798
83,430,799
84,432,798
85,430,798
86,431,798
87,432,799
88,430,798
89,431,799
90,432,798
91,430,798
92,430,799
93,432,798
94,431,798
95,430,798
96,432,798
97,430,798
98,426,798
99,426,798
100,426,797
101,425,798
102,426,797
103,427,798
104,429,798
105,430,798
106,434,799
107,433,798
108,432,799
109,434,799
110,434,798
111,432,798
112,432,798
113,431,798
114,429,798
115,430,798
116,433,798
117,431,798
118,433,798
119,432,798
120,429,798
121,431,798
122,428,798
