,Uncovered Top Resistor,Lasered Top Resistor
0,534,813
1,540,820
2,627,831
3,629,831
4,630,831
5,635,831
6,634,831
7,635,831
8,633,831
9,633,831
10,634,831
11,632,830
12,630,830
13,627,830
14,626,829
15,626,829
16,626,829
17,569,817
18,591,814
19,454,820
20,723,819
21,472,807
22,523,808
23,569,806
24,541,810
25,526,812
26,479,817
27,489,813
28,475,802
29,557,803
30,462,814
31,469,816
32,569,806
33,553,815
34,601,810
35,545,807
36,508,819
37,470,821
38,531,807
39,547,806
40,578,808
41,588,807
42,520,820
43,536,814
44,600,832
45,520,846
46,475,825
47,491,840
48,468,823
49,611,821
50,511,819
51,517,810
52,526,816
53,556,821
54,574,827
55,510,812
56,562,805
57,543,809
58,434,815
59,504,804
60,526,826
61,480,802
62,534,802
63,419,809
64,510,802
65,572,805
66,449,828
67,628,800
68,448,817
69,472,807
70,575,805
71,524,805
72,681,803
73,511,802
74,490,808
75,464,816
76,455,822
77,457,805
78,517,801
79,465,810
80,402,804
81,457,807
82,521,810
83,522,809
84,415,805
85,506,799
86,468,804
87,441,809
88,465,813
89,484,813
90,486,819
91,614,846
92,687,809
93,467,818
94,436,804
95,412,801
96,435,802
97,437,802
98,501,809
99,484,811
100,509,815
101,479,810
102,523,802
103,449,804
104,456,804
105,455,813
106,611,827
107,601,826
108,598,826
109,600,821
110,432,810
111,613,825
112,597,827
113,602,826
114,601,826
115,600,826
